# Model: log-polar (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 3000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,3000,202.42994499206543,79.46562500000074,0.000113371345,0.9762400000001081,72.1,65.0,75.0,18.75
1,3000,225.41220378875732,69.52499999999804,9.853999e-05,0.9462400000002447,74.4,80.0,43.75,25.0
2,3000,228.4228537082672,51.82187499999911,0.00011197117,0.9162400000003812,70.8,70.0,43.75,18.75
3,3000,236.69866013526917,72.19687499999736,0.0001191706,0.8862400000005177,79.7,90.0,37.5,12.5
4,3000,242.01253485679626,45.53125000000098,0.00012636856,0.8562400000006543,65.5,55.00000000000001,75.0,12.5
5,3000,233.282390832901,56.728125000000325,0.00013346063,0.8262400000007908,72.0,85.0,43.75,18.75
6,3000,238.49339127540588,58.050000000000935,0.0001401793,0.7962400000009273,70.8,85.0,50.0,25.0
7,3000,238.20709586143494,70.21249999999887,0.00014477914,0.7662400000010638,77.10000000000001,80.0,31.25,18.75
8,3000,238.30346775054932,34.19375000000055,0.00014298505,0.7362400000012004,71.7,75.0,31.25,18.75
9,3000,236.84749698638916,123.54062500000104,0.00013983545,0.7062400000013369,83.2,95.0,12.5,12.5
10,3000,237.8717794418335,73.89062500000009,0.00013792004,0.6762400000014734,78.8,70.0,43.75,18.75
11,3000,237.87478232383728,65.77187500000122,0.00013762085,0.64624000000161,83.39999999999999,80.0,25.0,25.0
12,3000,236.59187412261963,52.384375000001405,0.00013623374,0.6162400000017465,76.2,75.0,31.25,18.75
13,3000,239.15778994560242,98.57187500000133,0.00013594504,0.586240000001883,74.5,100.0,25.0,25.0
14,3000,239.82658314704895,48.06250000000029,0.00013399516,0.5562400000020196,66.9,80.0,62.5,25.0
15,3000,231.62157487869263,96.12187500000144,0.00013156561,0.5262400000021561,76.1,100.0,37.5,12.5
16,3000,228.91438937187195,26.881249999999635,0.0001300396,0.49624000000227175,63.1,75.0,62.5,12.5
17,3000,231.58273363113403,94.12499999999858,0.0001292668,0.46624000000224175,81.6,80.0,18.75,18.75
18,3000,234.66979050636292,68.66562499999975,0.000128093,0.43624000000221175,72.6,80.0,37.5,12.5
19,3000,234.5975558757782,91.82812499999977,0.00012741405,0.40624000000218174,66.5,90.0,43.75,18.75
20,3000,236.84122133255005,84.54062499999867,0.00012711044,0.37624000000215174,68.5,80.0,68.75,18.75
21,3000,270.4136745929718,115.56875000000198,0.00012703307,0.34624000000212174,69.39999999999999,100.0,37.5,12.5
22,3000,281.29888343811035,61.140624999999304,0.00012731018,0.31624000000209174,67.7,80.0,56.25,18.75
23,3000,279.64501953125,44.6093750000001,0.0001280183,0.28624000000206173,70.6,80.0,62.5,18.75
24,3000,262.7173523902893,72.65937500000062,0.00012875993,0.25624000000203173,67.10000000000001,70.0,62.5,25.0
