# num_drones=16, num_users=20, num_obstacles=0, episode_steps=1000
# SDQNConfig(displacement=1.0, obstacle_distance=10.0, agent_mass=1.0, max_acceleration=10.0, max_displacement=100.0, target_velocity=20.0, target_height=0.0)
episode,cumulative_reward,mean_loss,mean_area_coverage,mean_user_coverage,mean_direct_conn,mean_global_conn
0,6.7281,0.000362,0.622763,0.694667,0.812500,0.187500
1,21.1281,0.000088,0.681822,0.751550,0.517062,0.187562
2,21.2438,0.000055,0.651849,0.753800,0.625875,0.198000
3,25.9500,0.000045,0.620993,0.605100,0.838187,0.463187
4,3.0938,0.000038,0.613554,0.461950,0.627625,0.190625
5,2.4250,0.000042,0.612584,0.483900,0.792375,0.356250
6,20.2156,0.000044,0.670832,0.706400,0.606625,0.334937
7,4.1469,0.000047,0.693363,0.644050,0.617000,0.125000
8,18.4281,0.000050,0.633076,0.750000,0.780438,0.212312
9,28.8000,0.000052,0.743721,0.849300,0.583375,0.190625
10,-13.9563,0.000054,0.567087,0.630500,0.762250,0.492250
11,16.1563,0.000056,0.732865,0.636600,0.504313,0.132688
12,27.5687,0.000058,0.702938,0.700100,0.558750,0.452688
13,16.0563,0.000062,0.685812,0.618950,0.620375,0.261000
14,24.9469,0.000066,0.693697,0.864150,0.622188,0.271437
15,14.7906,0.000069,0.669395,0.607450,0.718812,0.364625
16,19.1031,0.000072,0.614469,0.666100,0.686250,0.245938
17,17.3719,0.000075,0.703123,0.755800,0.453437,0.310063
18,28.0156,0.000077,0.705801,0.816750,0.601812,0.267000
19,12.4187,0.000078,0.675985,0.713400,0.586562,0.351438
20,23.4062,0.000081,0.620758,0.615600,0.746000,0.270125
21,23.0812,0.000084,0.673090,0.704300,0.624125,0.251625
22,21.0156,0.000087,0.724462,0.953450,0.636312,0.204063
23,17.5688,0.000089,0.692664,0.847000,0.617313,0.326250
24,17.2625,0.000090,0.686544,0.717000,0.666562,0.192125
25,9.4062,0.000092,0.702453,0.778450,0.726875,0.190438
26,18.4531,0.000095,0.660250,0.701350,0.644813,0.209750
27,25.3250,0.000098,0.728689,0.710200,0.708500,0.256312
28,33.8031,0.000100,0.675044,0.882250,0.698375,0.453000
29,28.7969,0.000100,0.710207,0.758300,0.559438,0.163938
30,26.2375,0.000099,0.700877,0.710750,0.584000,0.195312
31,35.9406,0.000099,0.720203,0.872550,0.537438,0.196750
32,12.9625,0.000099,0.726010,0.793750,0.508875,0.270375
33,34.7406,0.000099,0.748890,0.889600,0.424750,0.218250
34,22.6719,0.000099,0.715749,0.829700,0.618875,0.273813
35,39.8094,0.000099,0.775164,0.783200,0.459562,0.146437
36,16.6031,0.000099,0.603439,0.677900,0.562000,0.558875
37,14.0531,0.000099,0.646570,0.741650,0.578562,0.261437
38,23.0906,0.000099,0.681265,0.785400,0.705125,0.280938
39,23.2969,0.000099,0.622733,0.672450,0.674813,0.377000
40,22.4625,0.000099,0.737891,0.852500,0.384375,0.199250
41,43.6500,0.000100,0.799417,0.940850,0.372312,0.176375
42,22.9000,0.000101,0.662726,0.759600,0.777687,0.440688
43,36.3937,0.000102,0.694681,0.864050,0.511813,0.205063
44,36.7250,0.000102,0.713333,0.819050,0.612812,0.247438
45,23.6656,0.000102,0.647141,0.799750,0.727625,0.395000
46,23.9469,0.000101,0.736297,0.541450,0.648000,0.263125
47,36.8156,0.000101,0.765594,0.951400,0.420938,0.193250
48,25.3875,0.000100,0.705631,0.784600,0.590562,0.290687
49,37.5219,0.000099,0.754623,0.906850,0.421375,0.224625
50,33.0437,0.000098,0.661920,0.808500,0.705875,0.205313
51,40.9781,0.000097,0.768483,0.868150,0.490875,0.325375
52,38.3187,0.000096,0.788974,0.875050,0.306437,0.183312
53,32.0375,0.000096,0.733877,0.938700,0.406125,0.155312
54,26.8000,0.000094,0.799847,0.907000,0.288375,0.145437
55,32.8063,0.000093,0.730598,0.884950,0.462687,0.240687
56,32.3844,0.000092,0.691140,0.876050,0.596750,0.303500
57,35.0563,0.000091,0.742480,0.831700,0.506750,0.165125
58,34.3312,0.000090,0.769982,0.820750,0.390813,0.171063
59,34.7719,0.000090,0.771254,0.707100,0.493125,0.156250
